IDAdicionalAplicado,IDProtocolo,IDAdicional,IDObraSocial,MontoFijo,PorcentajeSP
1070,849,3,4,0,0
1071,850,1,43,0,0
1072,850,2,43,0,0
1073,850,3,43,0,0
1074,851,1,4,0,0
1075,852,1,20,0,0
1076,853,1,4,0,0
1077,855,1,4,0,0
1078,856,1,25,0,0
1079,857,1,25,0,0
1080,858,1,7,0,0
1081,858,2,7,0,0
1082,858,3,7,0,0
1083,859,1,2,0,0
1084,859,2,2,0,0
1085,859,3,2,0,0
1086,860,1,4,0,0
1087,860,2,4,0,0
1088,860,3,4,0,0
1089,861,1,7,0,0
1090,861,2,7,0,0
1091,861,3,7,0,0
1092,862,1,4,0,0
1093,862,2,4,0,0
1094,862,3,4,0,0
1095,863,1,4,0,0
1096,863,2,4,0,0
1097,863,3,4,0,0
1098,864,1,4,0,0
1099,865,1,4,0,0
1100,866,1,4,0,0
1101,867,1,4,0,0
1102,868,1,4,0,0
1103,869,1,4,0,0
1104,870,1,4,0,0
1105,871,1,4,0,0
1106,871,2,4,0,0
1107,871,3,4,0,0
1108,872,1,4,0,0
1109,872,2,4,0,0
1110,872,3,4,0,0
1111,873,1,4,0,0
1112,873,2,4,0,0
1113,873,3,4,0,0
1114,874,1,4,0,0
1115,875,1,4,0,0
1116,876,1,4,0,0
1117,877,1,4,0,0
1118,878,1,1,0,0
1119,879,1,49,0,0
1120,880,1,4,0,0
1121,881,1,4,0,0
1122,882,1,1,0,0
1123,882,2,1,0,0
1124,882,3,1,0,0
1125,883,1,4,0,0
1126,884,1,4,0,0
1127,885,1,4,0,0
1128,886,1,4,0,0
1129,887,1,4,0,0
1130,888,1,4,0,0
1131,889,1,7,0,0
1132,889,2,7,0,0
1133,889,3,7,0,0
1134,890,1,4,0,0
1135,890,2,4,0,0
1136,890,3,4,0,0
1137,891,1,4,0,0
1138,892,1,4,0,0
1139,893,1,4,0,0
1140,894,1,4,0,0
1141,895,1,53,0,0
1142,895,2,53,0,0
